lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,0.2,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
10,0.2,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
10,0.2,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
10,0.2,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
10,0.2,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
10,0.2,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
10,0.2,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
10,0.2,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
10,0.2,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
10,0.2,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
10,0.2,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
10,0.2,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
10,0.2,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
10,0.2,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
10,0.2,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
10,0.2,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
10,0.2,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
10,0.2,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
10,0.2,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
10,0.2,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
10,0.2,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
10,0.2,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
10,0.2,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
10,0.2,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
10,0.5,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
10,0.5,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
10,0.5,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
10,0.5,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
10,0.5,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
10,0.5,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
10,0.5,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
10,0.5,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
10,0.5,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
10,0.5,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
10,0.5,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
10,0.5,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
10,0.5,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
10,0.5,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
10,0.5,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
10,0.5,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
10,0.5,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
10,0.5,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
10,0.5,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
10,0.5,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
10,0.5,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
10,0.5,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
10,0.5,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
10,0.5,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
10,0.7,1,0.05,0.5,0.6173145233032787,0.6118436313904192,0.947293153354541
10,0.7,1,0.05,0.6,0.6124619977906335,0.6076057874269701,0.9476141346401857
10,0.7,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
10,0.7,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
10,0.7,1,0.1,0.5,0.6150234864352379,0.6070216883930096,0.9471211990943742
10,0.7,1,0.1,0.6,0.6134212057651492,0.6093192415028057,0.9481643882727194
10,0.7,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
10,0.7,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
10,0.7,1,0.3,0.5,0.6108084077219342,0.5820090412996405,0.9499555784827902
10,0.7,1,0.3,0.6,0.6069190915024963,0.5813695397874404,0.9497864901269596
10,0.7,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
10,0.7,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
10,0.7,3,0.05,0.5,0.6167142060819145,0.6117100689497977,0.9459031897515261
10,0.7,3,0.05,0.6,0.6118617517368399,0.6074775546506308,0.9462270369415069
10,0.7,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
10,0.7,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
10,0.7,3,0.1,0.5,0.6144286266942711,0.6069205640962081,0.945673917404637
10,0.7,3,0.1,0.6,0.6128219616651439,0.6091978609625669,0.9466913134439573
10,0.7,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
10,0.7,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
10,0.7,3,0.3,0.5,0.6101231072401163,0.5820171620445218,0.9480153612472416
10,0.7,3,0.3,0.6,0.6062244997373272,0.5813354768395488,0.947823345656722
10,0.7,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
10,0.7,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
10,0.9,1,0.05,0.5,0.6272855310433808,0.6309521414633165,0.9430344195110767
10,0.9,1,0.05,0.6,0.6229997076754454,0.6297040403082327,0.9425013613045596
