lost_track_buffer,minimum_iou_threshold,minimum_consecutive_frames,direction_consistency_weight,high_conf_det_threshold,delta_t,HOTA,IDF1,MOTA
10,0.1,3,0.0,0.4,1,0.6020765213071438,0.5792479173725595,0.9443240764623276
10,0.1,3,0.0,0.4,3,0.6020765213071438,0.5792479173725595,0.9443240764623276
10,0.1,3,0.0,0.6,1,0.6057688918292492,0.589975332308208,0.9385435474163872
10,0.1,3,0.0,0.6,3,0.6057688918292492,0.589975332308208,0.9385435474163872
10,0.1,3,0.0,0.8,1,0.5793224395036588,0.5603843765636397,0.8948958243773822
10,0.1,3,0.0,0.8,3,0.5793224395036588,0.5603843765636397,0.8948958243773822
10,0.1,3,0.2,0.4,1,0.6199677881248992,0.603560028924322,0.9443355400796721
10,0.1,3,0.2,0.4,3,0.6160238707329313,0.6003574547121818,0.9453472043103202
10,0.1,3,0.2,0.6,1,0.6221687039389266,0.6074177540893219,0.9384174476255983
10,0.1,3,0.2,0.6,3,0.6141257197427951,0.6036766781127992,0.9388788582237125
10,0.1,3,0.2,0.8,1,0.5903384160577909,0.5704564948347933,0.8947525291605766
10,0.1,3,0.2,0.8,3,0.586803133016002,0.5702840539171952,0.8952368669933798
10,0.1,3,0.5,0.4,1,0.577818591991223,0.5504544470260495,0.9384661679993122
10,0.1,3,0.5,0.4,3,0.6015634287799949,0.5808862412607333,0.9434385120224686
10,0.1,3,0.5,0.6,1,0.5853025550220053,0.5679996819727114,0.9331814404035194
10,0.1,3,0.5,0.6,3,0.6146778999797626,0.6062490993097404,0.9373284039778752
10,0.1,3,0.5,0.8,1,0.5465622013852576,0.5242698223423042,0.8906313587252458
10,0.1,3,0.5,0.8,3,0.579988052412553,0.5594477285439252,0.8940188576505316
10,0.1,5,0.0,0.4,1,0.5986224270320647,0.5790955123406212,0.9300432751554754
10,0.1,5,0.0,0.4,3,0.5986224270320647,0.5790955123406212,0.9300432751554754
10,0.1,5,0.0,0.6,1,0.6017771788407335,0.5890805109129632,0.9230361390536784
10,0.1,5,0.0,0.6,3,0.6017771788407335,0.5890805109129632,0.9230361390536784
10,0.1,5,0.0,0.8,1,0.5732200435279888,0.5588208836663968,0.873837159315622
10,0.1,5,0.0,0.8,3,0.5732200435279888,0.5588208836663968,0.873837159315622
10,0.1,5,0.2,0.4,1,0.6158527357614466,0.6028911150917388,0.9296535121657639
10,0.1,5,0.2,0.4,3,0.6122046100032618,0.5998638882587419,0.9313931160977846
10,0.1,5,0.2,0.6,1,0.6179061271904981,0.6064637880694091,0.9226922305333448
10,0.1,5,0.2,0.6,3,0.6099261582665555,0.6026220299749542,0.9236666380076233
10,0.1,5,0.2,0.8,1,0.584052734355984,0.5689185788474297,0.8734559940389189
10,0.1,5,0.2,0.8,3,0.5805425117638446,0.5684139596431425,0.8742957040094002
10,0.1,5,0.5,0.4,1,0.5737650024011198,0.5500340790308249,0.9216805663026968
10,0.1,5,0.5,0.4,3,0.597814691487842,0.5804642605472885,0.9288080703866105
10,0.1,5,0.5,0.6,1,0.5808680962221948,0.5669940862198213,0.9155417992147422
10,0.1,5,0.5,0.6,3,0.6103315007563466,0.6052678832452583,0.9215172097555384
10,0.1,5,0.5,0.8,1,0.5404474544093776,0.5225634832061886,0.8676038173845757
10,0.1,5,0.5,0.8,3,0.5739010173452121,0.5578430759326244,0.8725646977903878
10,0.3,3,0.0,0.4,1,0.5990620200775161,0.5689100456741095,0.9435646118132577
10,0.3,3,0.0,0.4,3,0.5990620200775161,0.5689100456741095,0.9435646118132577
10,0.3,3,0.0,0.6,1,0.6068353901376776,0.5828163028213028,0.9379445734101396
10,0.3,3,0.0,0.6,3,0.6068353901376776,0.5828163028213028,0.9379445734101396
