lost_track_buffer,minimum_iou_threshold,minimum_consecutive_frames,direction_consistency_weight,high_conf_det_threshold,delta_t,HOTA,IDF1,MOTA
10,0.1,3,0.0,0.4,1,0.6008712288526968,0.571893640565374,0.9457283695870232
10,0.1,3,0.0,0.4,3,0.6008712288526968,0.571893640565374,0.9457283695870232
10,0.1,3,0.0,0.6,1,0.6023413545503372,0.5838762921145189,0.9391224600922822
10,0.1,3,0.0,0.6,3,0.6023413545503372,0.5838762921145189,0.9391224600922822
10,0.1,3,0.0,0.8,1,0.5757662320889871,0.5568611260118255,0.8955291892356633
10,0.1,3,0.0,0.8,3,0.5757662320889871,0.5568611260118255,0.8955291892356633
10,0.1,3,0.2,0.4,1,0.6126980092386757,0.587616025838518,0.9458516034734761
10,0.1,3,0.2,0.4,3,0.6177778823609288,0.5968471295742165,0.9463903934886654
10,0.1,3,0.2,0.6,1,0.6190268942058769,0.5984948259642521,0.9391453873269711
10,0.1,3,0.2,0.6,3,0.6217657323296507,0.6070842812549601,0.9396555182987992
10,0.1,3,0.2,0.8,1,0.5951282476585265,0.5746411713998083,0.8955549823746883
10,0.1,3,0.2,0.8,3,0.5921269160621753,0.5695429100963603,0.8958902931820136
10,0.1,3,0.5,0.4,1,0.5770008321484765,0.5504820274099177,0.9408047459375806
10,0.1,3,0.5,0.4,3,0.598797483693011,0.5797272019730473,0.9446192646089474
10,0.1,3,0.5,0.6,1,0.5876758664926727,0.5676295236918151,0.9353136732295876
10,0.1,3,0.5,0.6,3,0.6154480023084947,0.602417112959824,0.9384289112429427
10,0.1,3,0.5,0.8,1,0.5643013659303746,0.5414306467160354,0.8924397443613332
10,0.1,3,0.5,0.8,3,0.576945580135024,0.5555686189390925,0.8947181383085433
10,0.1,5,0.0,0.4,1,0.5974961909826482,0.5715354294187199,0.9321697761728713
10,0.1,5,0.0,0.4,3,0.5974961909826482,0.5715354294187199,0.9321697761728713
10,0.1,5,0.0,0.6,1,0.5984146139949864,0.5830990843533542,0.9239646920585791
10,0.1,5,0.0,0.6,3,0.5984146139949864,0.5830990843533542,0.9239646920585791
10,0.1,5,0.0,0.8,1,0.5699519733105494,0.5555166075842877,0.8747657123205227
10,0.1,5,0.0,0.8,3,0.5699519733105494,0.5555166075842877,0.8747657123205227
10,0.1,5,0.2,0.4,1,0.6090280334550542,0.5872939887201045,0.9318201358438656
10,0.1,5,0.2,0.4,3,0.6142985749488932,0.5964478400718382,0.9328661909265469
10,0.1,5,0.2,0.6,1,0.6149544397901469,0.5975990937290558,0.9237812741810678
10,0.1,5,0.2,0.6,3,0.617717507602523,0.6061903350133412,0.9245493365431462
10,0.1,5,0.2,0.8,1,0.5889059400915477,0.5730679992316815,0.8745908921560198
10,0.1,5,0.2,0.8,3,0.5859497142870981,0.5679677641565218,0.8751497435015619
10,0.1,5,0.5,0.4,1,0.5732322218601913,0.5500970716115364,0.9253145330008884
10,0.1,5,0.5,0.4,3,0.5951430572851538,0.5793722580854255,0.9304530994755396
10,0.1,5,0.5,0.6,1,0.5835765497770516,0.5668349740705584,0.9188232596795919
10,0.1,5,0.5,0.6,3,0.61120270459561,0.6015775640607294,0.9228097326111254
10,0.1,5,0.5,0.8,1,0.5582870189738104,0.5399272176400252,0.8702605107041527
10,0.1,5,0.5,0.8,3,0.5708833376805561,0.5541185351236361,0.873533373455994
10,0.3,3,0.0,0.4,1,0.5988207637091328,0.5629570345531631,0.9451695182414811
10,0.3,3,0.0,0.4,3,0.5988207637091328,0.5629570345531631,0.9451695182414811
10,0.3,3,0.0,0.6,1,0.6018550001438918,0.5743233706199936,0.938434643051615
10,0.3,3,0.0,0.6,3,0.6018550001438918,0.5743233706199936,0.938434643051615
10,0.3,3,0.0,0.8,1,0.5706019096963296,0.5416116487293118,0.8947525291605766
10,0.3,3,0.0,0.8,3,0.5706019096963296,0.5416116487293118,0.8947525291605766
10,0.3,3,0.2,0.4,1,0.6118587748914599,0.5825506492747696,0.9453013498409423
10,0.3,3,0.2,0.4,3,0.6143370049659812,0.5870858461223953,0.9458687988994927
10,0.3,3,0.2,0.6,1,0.6149281123247162,0.5855620202055847,0.9385722064597484
10,0.3,3,0.2,0.6,3,0.6185370325266987,0.5956666122751388,0.9391826440833405
10,0.3,3,0.2,0.8,1,0.5893322467788217,0.5562776730029081,0.8947926518212822
10,0.3,3,0.2,0.8,3,0.5826583947837357,0.5501254115065057,0.8950706445418852
10,0.3,3,0.5,0.4,1,0.5789585067568421,0.5482822023968861,0.9402286991660218
10,0.3,3,0.5,0.4,3,0.5990329657199926,0.5753573525674172,0.9442638924712693
10,0.3,3,0.5,0.6,1,0.5818400183604074,0.5555257874004157,0.9344968904937954
10,0.3,3,0.5,0.6,3,0.613327190515382,0.591414168151952,0.9378328031410311
10,0.3,3,0.5,0.8,1,0.5657695657136262,0.5339769930387569,0.8917490614163299
10,0.3,3,0.5,0.8,3,0.5683247066344831,0.5375242202402045,0.8939070873814232
10,0.3,5,0.0,0.4,1,0.5954449163972972,0.5626492587337998,0.9313357980110624
10,0.3,5,0.0,0.4,3,0.5954449163972972,0.5626492587337998,0.9313357980110624
10,0.3,5,0.0,0.6,1,0.5979758904388837,0.5738221137801378,0.9230418708623506
10,0.3,5,0.0,0.6,3,0.5979758904388837,0.5738221137801378,0.9230418708623506
10,0.3,5,0.0,0.8,1,0.5647321738776491,0.5405013942865506,0.8739231364457054
10,0.3,5,0.0,0.8,3,0.5647321738776491,0.5405013942865506,0.8739231364457054
10,0.3,5,0.2,0.4,1,0.6081672207190515,0.5822486358083545,0.9311466483248789
10,0.3,5,0.2,0.4,3,0.610879136634585,0.5867589188934446,0.9322041670249047
10,0.3,5,0.2,0.6,1,0.610882182550414,0.5850196843969633,0.9230705299057117
10,0.3,5,0.2,0.6,3,0.6145063209275199,0.5950295085856638,0.9239646920585791
10,0.3,5,0.2,0.8,1,0.5831703430078361,0.5550568754565516,0.8737540480898748
10,0.3,5,0.2,0.8,3,0.5765738745549627,0.5488813166540887,0.8742785085833835
10,0.3,5,0.5,0.4,1,0.5751006329113061,0.547997458966745,0.9244662253173989
10,0.3,5,0.5,0.4,3,0.5953749095431878,0.5750823769356369,0.9299773593557447
10,0.3,5,0.5,0.6,1,0.5777639529118226,0.5548566043457193,0.9177542773622217
10,0.3,5,0.5,0.6,3,0.6090719208456679,0.5907959128558667,0.9219843521623248
10,0.3,5,0.5,0.8,1,0.5595607869678311,0.5324880075773779,0.8695268391941077
10,0.3,5,0.5,0.8,3,0.5622938307302469,0.53636211078735,0.8726392113031267
10,0.5,3,0.0,0.4,1,0.563931044878301,0.499983877350609,0.9372624881781446
10,0.5,3,0.0,0.4,3,0.563931044878301,0.499983877350609,0.9372624881781446
10,0.5,3,0.0,0.6,1,0.5667124819977785,0.5053692700742848,0.9304874903275728
10,0.5,3,0.0,0.6,3,0.5667124819977785,0.5053692700742848,0.9304874903275728
10,0.5,3,0.0,0.8,1,0.530090929020612,0.4689251700680272,0.8873011778866822
10,0.5,3,0.0,0.8,3,0.530090929020612,0.4689251700680272,0.8873011778866822
10,0.5,3,0.2,0.4,1,0.5678560178097938,0.5110304572545962,0.9375977989854699
10,0.5,3,0.2,0.4,3,0.5772367078016373,0.5188615103275268,0.9383286045911787
10,0.5,3,0.2,0.6,1,0.5691478529073457,0.5099051600654394,0.9306995672484453
10,0.5,3,0.2,0.6,3,0.5694990380262156,0.5104322742770849,0.9314361046628263
10,0.5,3,0.2,0.8,1,0.5370168735975159,0.4759624106527339,0.8874845957641934
10,0.5,3,0.2,0.8,3,0.5369000801369004,0.4745872362551902,0.8878657610408964
10,0.5,3,0.5,0.4,1,0.540066674121203,0.4763725533383258,0.9327515547531023
10,0.5,3,0.5,0.4,3,0.5646767931227646,0.5079063494157834,0.9365517439027885
10,0.5,3,0.5,0.6,1,0.5458056470770901,0.48910973867804264,0.9269566961854814
10,0.5,3,0.5,0.6,3,0.5634709784055764,0.5070962011458384,0.9300404092511392
10,0.5,3,0.5,0.8,1,0.5285157752514262,0.4700884452166333,0.8847104003668358
10,0.5,3,0.5,0.8,3,0.5263103181623704,0.4667392520679278,0.8866993379760983
10,0.5,5,0.0,0.4,1,0.5604699926124028,0.5007189982895097,0.920419568394807
10,0.5,5,0.0,0.4,3,0.5604699926124028,0.5007189982895097,0.920419568394807
10,0.5,5,0.0,0.6,1,0.5628261034935517,0.505819039713139,0.9126415040265956
10,0.5,5,0.0,0.6,3,0.5628261034935517,0.505819039713139,0.9126415040265956
10,0.5,5,0.0,0.8,1,0.5246499243861683,0.4691493351908695,0.8645430315536068
10,0.5,5,0.0,0.8,3,0.5246499243861683,0.4691493351908695,0.8645430315536068
10,0.5,5,0.2,0.4,1,0.5641284885747352,0.5116487813548402,0.920574327228957
10,0.5,5,0.2,0.4,3,0.5736278569085514,0.5195317703969708,0.921760811624108
10,0.5,5,0.2,0.6,1,0.5651552253173268,0.5103326973527308,0.91260138136589
10,0.5,5,0.2,0.6,3,0.5655466358025583,0.5108167454720427,0.913816524804402
10,0.5,5,0.2,0.8,1,0.5314290744107953,0.4761531465597756,0.8646376063966985
10,0.5,5,0.2,0.8,3,0.5313285663947336,0.47467661775307696,0.8652537758289628
10,0.5,5,0.5,0.4,1,0.5360334757994578,0.4771054844047545,0.9139053678388216
10,0.5,5,0.5,0.4,3,0.5609692956562821,0.5084844695836136,0.9194422950161923
10,0.5,5,0.5,0.6,1,0.5415668713260271,0.48947557895145666,0.9076089760123807
10,0.5,5,0.5,0.6,3,0.559406618735769,0.5073723443906075,0.9119336256555756
10,0.5,5,0.5,0.8,1,0.5226513594842636,0.47005412634798227,0.8608402831513484
10,0.5,5,0.5,0.8,3,0.5207509704960934,0.46678399063858855,0.8636717966354283
30,0.1,3,0.0,0.4,1,0.5986802380818558,0.5801265067012349,0.9457856876737455
30,0.1,3,0.0,0.4,3,0.5986802380818558,0.5801265067012349,0.9457856876737455
30,0.1,3,0.0,0.6,1,0.6122397644477181,0.6062605434699552,0.9396927750551687
30,0.1,3,0.0,0.6,3,0.6122397644477181,0.6062605434699552,0.9396927750551687
30,0.1,3,0.0,0.8,1,0.5853827854145989,0.5837852167835539,0.896635428309403
30,0.1,3,0.0,0.8,3,0.5853827854145989,0.5837852167835539,0.896635428309403
30,0.1,3,0.2,0.4,1,0.618027506401195,0.6090891171510545,0.9458000171954261
30,0.1,3,0.2,0.4,3,0.6169353490863311,0.6085522427051696,0.9466167999312183
30,0.1,3,0.2,0.6,1,0.6233957893112712,0.6153726313252232,0.9396354569684464
30,0.1,3,0.2,0.6,3,0.6280640409591673,0.6282219874610085,0.9403949216175164
30,0.1,3,0.2,0.8,1,0.607819185472174,0.6092883249618084,0.8966669532571003
30,0.1,3,0.2,0.8,3,0.6048272698271943,0.6023666286086116,0.89711690023787
30,0.1,3,0.5,0.4,1,0.5799485712565718,0.5636884270132878,0.9402029060269969
30,0.1,3,0.5,0.4,3,0.5988174489245868,0.5909447375761409,0.9444043217837389
30,0.1,3,0.5,0.6,1,0.5910893110708426,0.5846664547798143,0.9354712979680738
30,0.1,3,0.5,0.6,3,0.6161050570432998,0.6188166913869162,0.9387069039635457
30,0.1,3,0.5,0.8,1,0.576530747269067,0.5738538412926326,0.8931476227323532
30,0.1,3,0.5,0.8,3,0.5876092187486556,0.5859996624391185,0.8955750437050412
30,0.1,5,0.0,0.4,1,0.5951290314720316,0.5792096852585534,0.9316883042444043
30,0.1,5,0.0,0.4,3,0.5951290314720316,0.5792096852585534,0.9316883042444043
30,0.1,5,0.0,0.6,1,0.6080912699756137,0.6047861048187199,0.9243229301005932
30,0.1,5,0.0,0.6,3,0.6080912699756137,0.6047861048187199,0.9243229301005932
30,0.1,5,0.0,0.8,1,0.5792672870922037,0.5811659766780285,0.8755681655346345
30,0.1,5,0.0,0.8,3,0.5792672870922037,0.5811659766780285,0.8755681655346345
30,0.1,5,0.2,0.4,1,0.6139900957377086,0.6079916788949196,0.9313357980110624
30,0.1,5,0.2,0.4,3,0.6131625052217765,0.607496915788513,0.932843263691858
30,0.1,5,0.2,0.6,1,0.6189827005080255,0.6138576273599385,0.9239045080675207
30,0.1,5,0.2,0.6,3,0.6236314707408467,0.6264249157760093,0.925125383314705
30,0.1,5,0.2,0.8,1,0.6011014434277371,0.6063310896497902,0.8752987705270399
30,0.1,5,0.2,0.8,3,0.5983203586600875,0.5996059794822881,0.8760238443240764
30,0.1,5,0.5,0.4,1,0.575798934327012,0.5627501592006134,0.9238815808328318
30,0.1,5,0.5,0.4,3,0.5949927993023397,0.5897967244814941,0.9296133895050583
30,0.1,5,0.5,0.6,1,0.5865870629127885,0.5829335996243394,0.9185309374373083
30,0.1,5,0.5,0.6,3,0.611697261060186,0.6170696320647514,0.9227294872897143
30,0.1,5,0.5,0.8,1,0.5699827582186603,0.5712125770679878,0.8705356375204195
30,0.1,5,0.5,0.8,3,0.580965150514589,0.583131148465962,0.8739976499584444
30,0.3,3,0.0,0.4,1,0.5931935641145542,0.5663452635145595,0.9450233571203394
30,0.3,3,0.0,0.4,3,0.5931935641145542,0.5663452635145595,0.9450233571203394
30,0.3,3,0.0,0.6,1,0.6072194122889566,0.5886571113561191,0.9389017854584014
30,0.3,3,0.0,0.6,3,0.6072194122889566,0.5886571113561191,0.9389017854584014
30,0.3,3,0.0,0.8,1,0.5789351322788009,0.5631962725824753,0.8956667526437968
30,0.3,3,0.0,0.8,3,0.5789351322788009,0.5631962725824753,0.8956667526437968
30,0.3,3,0.2,0.4,1,0.6144567908202151,0.5957760056086232,0.9452153727108589
30,0.3,3,0.2,0.4,3,0.6128706253740667,0.595709142091231,0.9459920327859456
30,0.3,3,0.2,0.6,1,0.6180079225885715,0.6014166963159426,0.9389648353537959
30,0.3,3,0.2,0.6,3,0.6211401541961973,0.6104267743315163,0.9397128363855215
30,0.3,3,0.2,0.8,1,0.5991911534629593,0.5826852354253331,0.8956380936004357
30,0.3,3,0.2,0.8,3,0.5914664033378569,0.5722909176388332,0.8960966382942137
30,0.3,3,0.5,0.4,1,0.5796010727790099,0.5568312855963802,0.9392170349353739
30,0.3,3,0.5,0.4,3,0.596561068108399,0.580717927739711,0.943825409107844
30,0.3,3,0.5,0.6,1,0.5821380113611586,0.5656792886166893,0.9342934112859312
30,0.3,3,0.5,0.6,3,0.6102618390544595,0.6024729993646909,0.9377410942022756
30,0.3,3,0.5,0.8,1,0.5702090656979495,0.5523174310957529,0.8921216289800247
30,0.3,3,0.5,0.8,3,0.573839272185017,0.555944040128999,0.8943856934055541
30,0.3,5,0.0,0.4,1,0.5895952540777151,0.5655834461943843,0.9307052990571175
30,0.3,5,0.0,0.4,3,0.5895952540777151,0.5655834461943843,0.9307052990571175
30,0.3,5,0.0,0.6,1,0.6031223783516091,0.5876282237634454,0.9233227294872897
30,0.3,5,0.0,0.6,3,0.6031223783516091,0.5876282237634454,0.9233227294872897
30,0.3,5,0.0,0.8,1,0.5727139351513344,0.5610901252747722,0.8745507694953143
30,0.3,5,0.0,0.8,3,0.5727139351513344,0.5610901252747722,0.8745507694953143
30,0.3,5,0.2,0.4,1,0.6104564108477503,0.595001053790477,0.9306766400137564
30,0.3,5,0.2,0.4,3,0.6090955493773329,0.5948501621659837,0.9320178832430573
30,0.3,5,0.2,0.6,1,0.6136764863486406,0.6000854530942624,0.9230160777233256
30,0.3,5,0.2,0.6,3,0.6168042895367589,0.6090261127693236,0.9242856733442237
30,0.3,5,0.2,0.8,1,0.5926080345535606,0.5804449500502471,0.8742355200183418
30,0.3,5,0.2,0.8,3,0.5851890891351017,0.570345879881775,0.8750093141890923
30,0.3,5,0.5,0.4,1,0.5753317801585578,0.5559618891010104,0.9225059467514974
30,0.3,5,0.5,0.4,3,0.5926759911747742,0.5797402765920113,0.9290000859771301
30,0.3,5,0.5,0.6,1,0.577742441874628,0.5643600283149623,0.9169747513827988
30,0.3,5,0.5,0.6,3,0.6058390753714592,0.601101364088406,0.9214713552861605
30,0.3,5,0.5,0.8,1,0.5636166988827904,0.55000764035329,0.8693921416903104
30,0.3,5,0.5,0.8,3,0.5673173749980444,0.5539307086902521,0.8726506749204711
30,0.5,3,0.0,0.4,1,0.5630071536002997,0.5008605650115084,0.9363282033645717
30,0.5,3,0.0,0.4,3,0.5630071536002997,0.5008605650115084,0.9363282033645717
30,0.5,3,0.0,0.6,1,0.5714317800510265,0.5146245070950287,0.930338463302095
30,0.5,3,0.0,0.6,3,0.5714317800510265,0.5146245070950287,0.930338463302095
30,0.5,3,0.0,0.8,1,0.5347982347838363,0.4784190172678098,0.8871292236265154
30,0.5,3,0.0,0.8,3,0.5347982347838363,0.4784190172678098,0.8871292236265154
30,0.5,3,0.2,0.4,1,0.5683550723937589,0.5142032666120228,0.9364800962943857
30,0.5,3,0.2,0.4,3,0.5760502454224197,0.5204529500814074,0.9376895079242255
30,0.5,3,0.2,0.6,1,0.5712300681540853,0.5167075583462549,0.9303470610151033
30,0.5,3,0.2,0.6,3,0.5700964040286763,0.5164923168589602,0.9311609778465595
30,0.5,3,0.2,0.8,1,0.5431005500535653,0.4893573595910759,0.8874588026251684
