lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
10,0.25,2,0.05,0.5569914748154433,0.5104216481669477,0.9109735477029777
10,0.25,2,0.1,0.5577995553755865,0.5099010039548039,0.9121628980024646
10,0.25,2,0.3,0.5660722700820597,0.5174144183031716,0.9207634769151406
10,0.25,2,0.5,0.5092615219580435,0.42456608811748997,0.9236236494425816
10,0.25,2,0.7,0.25150377875443225,0.15936555107221928,0.8163643137592067
10,0.25,3,0.05,0.5580217684404246,0.5159426795822315,0.9121256412460952
10,0.25,3,0.1,0.5616610425398941,0.5173476952107108,0.9133379187802712
10,0.25,3,0.3,0.5683919968317557,0.5192469977280104,0.9221161837617861
10,0.25,3,0.5,0.5111312146744678,0.4294409471201713,0.921531539277219
10,0.25,3,0.7,0.24952311368418761,0.16448346875466208,0.7740435044278222
10,0.25,5,0.05,0.5617070799927161,0.5216298659265621,0.9103688418880578
10,0.25,5,0.1,0.564399552548157,0.5250539987294417,0.9120052732639784
10,0.25,5,0.3,0.5712351491640039,0.5248347567346568,0.9195999197546786
10,0.25,5,0.5,0.5115643632812185,0.43572850746678105,0.9117989281517783
10,0.25,5,0.7,0.24431652033128523,0.17131834053671283,0.6971054366205256
10,0.5,2,0.05,0.5648019631277452,0.5258889030724968,0.9172498781990657
10,0.5,2,0.1,0.5674491918950275,0.5262992342700992,0.9191757659129338
10,0.5,2,0.3,0.5732244192708802,0.5269018215781743,0.9272576161407732
10,0.5,2,0.5,0.5163528717865117,0.4351213673508646,0.9300633364858281
10,0.5,2,0.7,0.2524213393080705,0.16074933945768508,0.8196715673630814
10,0.5,3,0.05,0.5665204661217043,0.5310870335679206,0.9172584759120741
10,0.5,3,0.1,0.5683800560524288,0.5306431018001669,0.9188777118619781
10,0.5,3,0.3,0.5740540642458128,0.5306994519900557,0.9268965121944229
10,0.5,3,0.5,0.5154404557106442,0.4360354731980759,0.9259593614765139
10,0.5,3,0.7,0.25005197435750237,0.16538055172094673,0.7748717507809589
10,0.5,5,0.05,0.5669961587595701,0.5331762791722455,0.9139540882125354
10,0.5,5,0.1,0.5691400662646697,0.5344102414699202,0.9160547960909065
10,0.5,5,0.3,0.5755482564083486,0.533977780778881,0.9227380850027226
10,0.5,5,0.5,0.5168472295947216,0.444833427605492,0.9149370933998223
