lost_track_buffer,minimum_iou_threshold,minimum_consecutive_frames,direction_consistency_weight,high_conf_det_threshold,delta_t,HOTA,IDF1,MOTA
10,0.1,3,0.0,0.4,1,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.0,0.4,3,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.0,0.6,1,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.0,0.6,3,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.0,0.8,1,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.0,0.8,3,0.8436192480345319,0.7922031739730898,0.9763370359153181
10,0.1,3,0.2,0.4,1,0.8493094633407914,0.7990225366497071,0.9766317145110108
10,0.1,3,0.2,0.4,3,0.8449718118003188,0.7938292032281873,0.9765157530265948
10,0.1,3,0.2,0.6,1,0.8493094633407914,0.7990225366497071,0.9766317145110108
10,0.1,3,0.2,0.6,3,0.8449718118003188,0.7938292032281873,0.9765157530265948
10,0.1,3,0.2,0.8,1,0.8493094633407914,0.7990225366497071,0.9766317145110108
10,0.1,3,0.2,0.8,3,0.8449718118003188,0.7938292032281873,0.9765157530265948
10,0.1,3,0.5,0.4,1,0.8434397271785926,0.7938748484257302,0.9760355360558362
10,0.1,3,0.5,0.4,3,0.8452776707433418,0.7947312297128977,0.9761337622544004
10,0.1,3,0.5,0.6,1,0.8434397271785926,0.7938748484257302,0.9760355360558362
10,0.1,3,0.5,0.6,3,0.8452776707433418,0.7947312297128977,0.9761337622544004
10,0.1,3,0.5,0.8,1,0.8434397271785926,0.7938748484257302,0.9760355360558362
10,0.1,3,0.5,0.8,3,0.8452776707433418,0.7947312297128977,0.9761337622544004
10,0.1,5,0.0,0.4,1,0.8414565164405768,0.7930574745073308,0.9698513783045613
10,0.1,5,0.0,0.4,3,0.8414565164405768,0.7930574745073308,0.9698513783045613
10,0.1,5,0.0,0.6,1,0.8414565164405768,0.7930574745073308,0.9698513783045613
