tracker,state_estimator,lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA,output_dir
SORT,XCYCSR,10,0.25,2,0.05,0.8476361915538696,0.79276157698623,0.9846767130239754,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.05
SORT,XCYCSR,10,0.25,2,0.1,0.8431716896911664,0.7870684620120286,0.9817408410891103,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.1
SORT,XCYCSR,10,0.25,2,0.3,0.8008710067269292,0.7365002248839827,0.9645171500214188,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.3
SORT,XCYCSR,10,0.25,2,0.5,0.6804518230365066,0.5958280170560438,0.9259006114580861,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.5
SORT,XCYCSR,10,0.25,2,0.7,0.44832376482020697,0.3648496786401146,0.8012324659414299,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-2_minimum_iou_threshold-0.7
SORT,XCYCSR,10,0.25,3,0.05,0.8458352780910167,0.7937874050731286,0.9799386631960076,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.05
SORT,XCYCSR,10,0.25,3,0.1,0.8412593291457684,0.7883231788371391,0.9767449474899114,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.1
SORT,XCYCSR,10,0.25,3,0.3,0.7988285721661946,0.7389300758038396,0.9583343565229017,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.3
SORT,XCYCSR,10,0.25,3,0.5,0.6781598059244422,0.6000844349305607,0.9172171426544539,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.5
SORT,XCYCSR,10,0.25,3,0.7,0.4449219979729867,0.3714696026807085,0.7827604836003176,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-3_minimum_iou_threshold-0.7
SORT,XCYCSR,10,0.25,5,0.05,0.8416527536626986,0.7939937449242307,0.9705266834196905,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-5_minimum_iou_threshold-0.05
SORT,XCYCSR,10,0.25,5,0.1,0.8370541447297991,0.7887304829496279,0.9668445652262886,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-5_minimum_iou_threshold-0.1
SORT,XCYCSR,10,0.25,5,0.3,0.7948697488362321,0.7409010858967706,0.9461461223843864,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-5_minimum_iou_threshold-0.3
SORT,XCYCSR,10,0.25,5,0.5,0.6730259376665552,0.6023293532580455,0.8988065516874443,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-10_track_activation_threshold-0.25_minimum_consecutive_frames-5_minimum_iou_threshold-0.5
